Language_name	Language_ID	Glottocode	Language_level_glottocode	Parameter_ID	Form	Comment	Cognacy	Dataset	Source	Pages	Ultimate_source	Language_comment
Gabadi	397	abad1241	abad1241	five	ima		1	abvd	Ross-397-2006		Malcolm Ross, W. C. Papua list	Many gaps in Word Lists C and D particularly.  Some writing very small or faint (poor photocopy).
Gabadi	abad1241-1	abad1241	abad1241	five	ima			barlowpacific	Lean1986Vol07	p.31	7 CSQs. Village: Pinu (7).	
Gabadi, Papua New Guinea	abad1241-1	abad1241	abad1241	five	ima			chan2019	Gabadi.htm		Mr. Namsoo Kim, SIL International, Papua New Guinea. January 27, 2009	Gabadi or Abadi has a decimal system with particular substructure for numbers 6, 8 and 9. 7 might be a loanword from Polynesian language. Number 'hundred' is a loanword from Roro language.
Gabadi	397	abad1241	abad1241	hand	imanana	could be i ma	1,65	abvd	Ross-397-2006		Malcolm Ross, W. C. Papua list	Many gaps in Word Lists C and D particularly.  Some writing very small or faint (poor photocopy).
Gabadi	397	abad1241	abad1241	hand	imanana	arm	1,65	abvd	Ross-397-2006		Malcolm Ross, W. C. Papua list	Many gaps in Word Lists C and D particularly.  Some writing very small or faint (poor photocopy).
Abai Sungai, Sabah, Malaysia	abai1240-1	abai1240	abai1240	five	limo			chan2019	Abai-Sungai.htm		Mr. David Moody, SIL International, Sabah, Malaysia, November 6, 1987. Taken from SIL Linguistic survey.	Aba Sungai might have a decimal system. New data needed.
Abai Sembuak	abai1241-1	abai1241	abai1241	five	limo			barlowpacific	Lobel2016	pp.234-239		
Abai Tubu	abai1241-2	abai1241	abai1241	five	limo			barlowpacific	Lobel2016	pp.234-239		
Ayta Abellen	1262	aben1249	aben1249	five	lima		1	abvd	150458		Stone (2008)	Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.
Abenlen Ayta, Philippines	aben1249-1	aben1249	aben1249	five	lima			chan2019	Ayta-Abenlen.htm		Mr. Roger Green, SIL International, Philippines, February 22, 2006. September 24, 2009.	Abenlen Ayta has a decimal system. The compound numbers 11 to 19 similar to those of Tagalog.
Ayta Abellen	1262	aben1249	aben1249	hand	gamɨt		21	abvd	150458		Stone (2008)	Stone, Roger. 2008. The Sambalic languages of Central Luzon. Studies in Philippine languages and cultures 19. 158-183.
Acehnese	648	achi1257	achi1257	five	limong		1	abvd	Rajki-648-2009		various Internet sources	
Aceh	achi1257-1	achi1257	achi1257	five	limòng			barlowpacific	Stokhof1986Vol9	pp.290-291		
Aceh, Sumatra, Indonesia	achi1257-1	achi1257	achi1257	five	limʌŋ			chan2019	Aceh.htm		Dr. Mark Durie, Department of Linguistics, Australian National University, Canberra, Australia, February 28, 2005.	Aceh has a decimal system with a special structure for number 9.
